epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.3284,2.06366,3.06332,1.34082,0.00867,0.38095,0.06476,0.01449,2.57582,3.70006,1.85278,0.09208,8e-05,8e-05
2,98.4956,1.93399,1.75811,1.26384,0.00308,0.13553,0.01665,0.00671,3.21608,3.81637,2.36525,0.0831698,0.000169834,0.000169834
3,659.383,1.95032,1.33546,1.3175,0.01803,0.35531,0.27212,0.09271,2.16926,3.69404,1.63418,0.074259,0.000258985,0.000258985
4,704.704,1.92968,1.17602,1.28543,0.35747,0.28938,0.35984,0.1617,2.02926,3.82546,1.54649,0.0653469,0.000346931,0.000346931
5,1377.04,1.93555,1.14159,1.32272,0.25455,0.15385,0.211,0.11451,2.0373,3.96786,1.58543,0.0564332,0.000433157,0.000433157
6,1422.27,1.87573,1.10159,1.28452,0.44248,0.3663,0.42288,0.20336,2.04761,3.65158,1.55931,0.0475172,0.00051716,0.00051716
7,2965.75,1.82243,1.06121,1.26679,0.47273,0.28571,0.38619,0.17962,2.24771,3.77213,1.662,0.0385984,0.000598448,0.000598448
8,3010.34,1.80903,1.05462,1.21793,0.36439,0.8022,0.60367,0.25959,2.00155,2.89796,1.48395,0.0296766,0.000676551,0.000676551
9,3057.42,1.76416,0.98665,1.20183,0.8804,0.75499,0.8482,0.39223,1.81003,1.67419,1.3124,0.020751,0.000751017,0.000751017
10,4014.16,1.81045,0.98398,1.23848,0.89742,0.76906,0.86117,0.4065,1.73516,1.6307,1.26863,0.0118214,0.000821419,0.000821419
11,4413.96,1.78554,0.96317,1.23767,0.90475,0.76923,0.86885,0.41926,1.73922,1.52367,1.29438,0.00288735,0.000887354,0.000887354
12,4459.46,1.75129,0.92983,1.24175,0.89875,0.81319,0.90213,0.44939,1.68302,1.09723,1.28004,0.000886404,0.000886404,0.000886404
13,4507.54,1.80252,0.9255,1.20771,0.77067,0.7033,0.71573,0.32293,1.78274,1.28865,1.30553,0.000865839,0.000865839,0.000865839
14,4553.72,1.74052,0.92383,1.19689,0.79587,0.76557,0.77293,0.36114,1.76032,1.26198,1.28703,0.000843851,0.000843851,0.000843851
15,4601.76,1.72865,0.91303,1.21188,0.90219,0.83516,0.91549,0.45291,1.66612,1.05587,1.26606,0.000820525,0.000820525,0.000820525
16,4650.96,1.69392,0.88016,1.19572,0.91838,0.87179,0.94314,0.44968,1.75741,0.90136,1.32605,0.000795954,0.000795954,0.000795954
17,4702,1.70578,0.86745,1.20655,0.9228,0.86081,0.93281,0.46963,1.66812,0.94688,1.28272,0.000770234,0.000770234,0.000770234
18,4754.17,1.71141,0.86572,1.21092,0.92097,0.88278,0.94587,0.46531,1.64292,0.99689,1.26345,0.000743468,0.000743468,0.000743468
19,4804.04,1.69461,0.85069,1.20115,0.96182,0.90842,0.96847,0.47914,1.63494,0.88632,1.27011,0.000715761,0.000715761,0.000715761
20,4855.73,1.64316,0.83236,1.17024,0.94702,0.91659,0.95737,0.49046,1.63243,0.78629,1.26449,0.000687222,0.000687222,0.000687222
21,4918.41,1.65295,0.83266,1.1692,0.90402,0.91209,0.95408,0.49132,1.6436,0.80648,1.27017,0.000657963,0.000657963,0.000657963
22,4980.33,1.67823,0.82523,1.16682,0.92806,0.89788,0.95781,0.49481,1.65153,0.80243,1.27082,0.000628101,0.000628101,0.000628101
23,5037.79,1.63608,0.80062,1.14274,0.94044,0.92674,0.96587,0.49182,1.65716,0.77649,1.28062,0.000597754,0.000597754,0.000597754
